"Player Name","Season","RUATT","RUYD","RUTD","RECPT","REYD","RETD","FPTS"
"Kareem Hunt","2019","43","179","2","37","285","1","63"
"Kareem Hunt","2018","181","824","7","26","378","7","203"
"Kareem Hunt","2017","272","1327","8","53","455","3","241"
"Josh Jacobs","2021","217","872","9","54","348","0","171"
"Josh Jacobs","2020","273","1065","12","33","238","0","197"
"Josh Jacobs","2019","242","1150","7","20","166","0","171"
"Jeff Wilson","2021","79","294","2","7","31","0","44"
"Jeff Wilson","2020","126","600","7","13","133","3","129"
"Jeff Wilson","2019","27","105","4","3","34","1","43"
"Jeff Wilson","2018","66","266","0","12","98","0","31"
"Jerick Mckinnon","2021","12","62","0","13","107","1","22"
"Jerick Mckinnon","2020","81","319","5","33","253","1","92"
"Jerick Mckinnon","2019","0","0","0","0","0","0","0"
"Jerick Mckinnon","2018","0","0","0","0","0","0","0"
"Jerick Mckinnon","2017","150","570","3","51","421","2","127"
"Jerick Mckinnon","2016","159","539","2","43","255","2","104"
"Jerick Mckinnon","2015","52","271","2","21","173","1","62"
"Jerick Mckinnon","2014","113","538","0","27","135","0","66"
"Nick Chubb","2021","228","1259","8","20","174","1","194"
"Nick Chubb","2020","190","1067","12","16","150","0","191"
"Nick Chubb","2019","298","1494","8","36","278","0","218"
"Nick Chubb","2018","192","996","8","20","149","2","173"
"Rex Burkhead","2021","122","427","3","25","186","0","78"
"Rex Burkhead","2020","67","274","3","25","192","3","82"
"Rex Burkhead","2019","65","302","3","27","279","0","73"
"Rex Burkhead","2018","57","186","0","14","131","1","35"
"Rex Burkhead","2017","64","264","5","30","254","3","99"
"Rex Burkhead","2016","74","344","2","17","145","0","58"
"Rex Burkhead","2015","4","4","0","10","94","1","13"
"Rex Burkhead","2014","9","27","1","7","49","0","12"
"Rex Burkhead","2013","0","0","0","0","0","0","0"
"Derrick Henry","2021","219","937","10","18","154","0","176"
"Derrick Henry","2020","378","2027","17","19","114","0","313"
"Derrick Henry","2019","303","1540","16","18","206","2","276"
"Derrick Henry","2018","215","1059","12","15","99","0","184"
"Derrick Henry","2017","176","744","5","11","136","1","123"
"Derrick Henry","2016","110","490","5","13","137","0","92"
"Eno Benjamin","2021","34","118","1","6","42","0","21"
"Eno Benjamin","2020","0","0","0","0","0","0","0"
"Raheem Mostert","2021","2","20","0","0","0","0","2"
"Raheem Mostert","2020","104","521","2","16","156","1","83"
"Raheem Mostert","2019","137","772","8","14","180","2","151"
"Raheem Mostert","2018","34","261","1","6","25","0","32"
"Raheem Mostert","2017","6","30","0","0","0","0","1"
"Raheem Mostert","2016","1","6","0","0","0","0","0"
"Raheem Mostert","2015","0","0","0","0","0","0","2"
"Leonard Fournette","2021","180","812","8","69","454","2","186"
"Leonard Fournette","2020","97","367","6","36","233","0","95"
"Leonard Fournette","2019","265","1152","3","76","522","0","183"
"Leonard Fournette","2018","133","439","5","22","185","1","97"
"Leonard Fournette","2017","268","1040","9","36","302","1","194"
"Javonte Williams","2021","203","903","4","43","316","3","161"
"Saquon Barkley","2021","162","593","2","41","263","2","107"
"Saquon Barkley","2020","19","34","0","6","60","0","9"
"Saquon Barkley","2019","217","1003","6","52","438","2","191"
"Saquon Barkley","2018","261","1307","11","91","721","4","294"
"Alexander Mattison","2021","134","491","3","32","228","1","93"
"Alexander Mattison","2020","96","434","2","13","125","1","73"
"Alexander Mattison","2019","100","462","1","10","82","0","58"
"Darrell Henderson Jr","2021","149","688","5","29","176","3","133"
"Darrell Henderson Jr","2020","138","624","5","16","159","1","113"
"Darrell Henderson Jr","2019","39","147","0","4","37","0","17"
"Ezekiel Elliott","2021","237","1002","10","47","287","2","204"
"Ezekiel Elliott","2020","244","979","6","52","338","2","170"
"Ezekiel Elliott","2019","301","1357","12","54","420","2","257"
"Ezekiel Elliott","2018","304","1434","6","77","567","3","251"
"Ezekiel Elliott","2017","242","983","7","26","269","2","176"
"Ezekiel Elliott","2016","322","1631","15","32","363","1","293"
"Joe Mixon","2021","292","1205","13","42","314","3","245"
"Joe Mixon","2020","119","428","3","21","138","1","77"
"Joe Mixon","2019","278","1137","5","35","287","3","189"
"Joe Mixon","2018","237","1168","8","43","296","1","199"
"Joe Mixon","2017","178","626","4","30","287","0","110"
"Dontrell Hilliard","2021","56","350","2","19","87","0","53"
"Dontrell Hilliard","2020","9","48","0","1","2","0","4"
"Dontrell Hilliard","2019","13","49","2","12","92","0","25"
"Dontrell Hilliard","2018","0","0","0","9","105","0","8"
"Kenyan Drake","2021","63","254","2","30","291","1","72"
"Kenyan Drake","2020","239","955","10","25","137","0","166"
"Kenyan Drake","2019","170","817","8","50","345","0","163"
"Kenyan Drake","2018","120","535","4","53","477","5","152"
"Kenyan Drake","2017","133","644","3","32","239","1","109"
"Kenyan Drake","2016","33","179","2","9","46","0","33"
"James Conner","2021","202","752","15","37","375","3","220"
"James Conner","2020","169","721","6","35","215","0","129"
"James Conner","2019","116","464","4","34","251","3","111"
"James Conner","2018","215","973","12","55","497","1","224"
"James Conner","2017","32","144","0","0","0","0","14"
"Travis Etienne","2021","0","0","0","0","0","0","0"
"Cam Akers","2021","5","3","0","3","10","0","1"
"Cam Akers","2020","145","625","2","11","123","1","90"
"Khalil Herbert","2021","103","433","2","14","96","0","64"
"Jamaal Williams","2021","153","601","3","26","157","0","93"
"Jamaal Williams","2020","119","505","2","31","236","1","95"
"Jamaal Williams","2019","107","460","1","39","253","5","107"
"Jamaal Williams","2018","121","464","3","27","210","0","87"
"Jamaal Williams","2017","153","556","4","25","262","2","117"
"Aaron Jones","2021","171","799","4","52","391","6","176"
"Aaron Jones","2020","201","1104","9","47","355","2","211"
"Aaron Jones","2019","236","1084","16","49","474","3","265"
"Aaron Jones","2018","133","728","8","26","206","1","144"
"Aaron Jones","2017","81","448","4","9","22","0","70"
