"Player Name","Week","TAR","RECPT","REYD","RETD","REAVG","FPTS"
"Adam Thielen","2","0","0","6","15","6","0"
"Adam Thielen","1","0","0","10","24","9","0"
"Elijah Moore","12","0","0","12","29","6","0"
"Elijah Moore","11","0","0","11","22","4","0"
"Elijah Moore","10","0","0","17","62","8","0"
"Elijah Moore","9","0","0","14","25","3","0"
"Elijah Moore","8","0","0","12","26","7","0"
"Elijah Moore","7","0","0","11","24","6","0"
"Elijah Moore","6","0","0","13","13","1","0"
"Elijah Moore","5","0","0","0","0","0","0"
"Elijah Moore","4","0","0","0","0","0","0"
"Elijah Moore","3","0","0","7","14","3","0"
"Elijah Moore","2","0","0","11","27","4","0"
"Elijah Moore","1","0","0","3","3","1","0"
"Terry Mclaurin","17","0","0","23","40","4","0"
"Terry Mclaurin","16","0","0","8","12","7","0"
"Terry Mclaurin","15","0","0","13","19","3","0"
"Terry Mclaurin","14","0","0","25","46","2","0"
"Terry Mclaurin","13","0","0","0","0","0","0"
"Terry Mclaurin","12","0","0","7","13","3","0"
"Terry Mclaurin","11","0","0","12","20","4","0"
"Terry Mclaurin","10","0","0","20","39","5","0"
"Terry Mclaurin","9","0","0","9","21","6","0"
"Terry Mclaurin","8","0","0","7","17","3","0"
"Terry Mclaurin","7","0","0","17","40","7","0"
"Terry Mclaurin","6","0","0","7","12","4","0"
"Terry Mclaurin","5","0","0","11","18","4","0"
"Terry Mclaurin","4","0","0","20","33","6","0"
"Terry Mclaurin","3","0","0","15","37","4","0"
"Terry Mclaurin","2","0","0","9","18","11","0"
"Terry Mclaurin","1","0","0","15","34","4","0"
"Mike Williams","16","0","0","13","47","9","0"
"Mike Williams","15","0","0","21","45","3","0"
"Mike Williams","14","0","0","16","27","3","0"
"Mike Williams","13","0","0","10","25","6","0"
"Mike Williams","12","0","0","22","47","5","0"
"Mike Williams","11","0","0","9","13","4","0"
"Mike Williams","10","0","0","19","53","5","0"
"Mike Williams","9","0","0","8","11","4","0"
"Mike Williams","8","0","0","29","49","2","0"
"Mike Williams","7","0","0","9","14","2","0"
"Mike Williams","6","0","0","13","26","2","0"
"Mike Williams","5","0","0","20","72","8","0"
"Mike Williams","4","0","0","11","11","1","0"
"Mike Williams","3","0","0","17","43","7","0"
"Mike Williams","2","0","0","13","27","7","0"
"Mike Williams","1","0","0","10","20","8","0"
"Michael Pittman","17","0","0","10","21","6","0"
"Michael Pittman","16","0","0","7","12","6","0"
"Michael Pittman","15","0","0","10","20","8","0"
"Michael Pittman","14","0","0","7","7","1","0"
"Michael Pittman","13","0","0","12","17","6","0"
"Michael Pittman","12","0","0","13","23","4","0"
"Michael Pittman","11","0","0","11","18","2","0"
"Michael Pittman","10","0","0","14","27","5","0"
"Michael Pittman","9","0","0","12","19","5","0"
"Michael Pittman","8","0","0","8","38","10","0"
"Michael Pittman","7","0","0","26","57","4","0"
"Michael Pittman","6","0","0","17","18","2","0"
"Michael Pittman","5","0","0","14","42","6","0"
"Michael Pittman","4","0","0","9","20","6","0"
"Michael Pittman","3","0","0","11","18","6","0"
"Michael Pittman","2","0","0","15","42","8","0"
"Michael Pittman","1","0","0","9","14","3","0"
"Gabe Davis","16","0","0","13","27","3","0"
"Gabe Davis","15","0","0","13","15","3","0"
"Gabe Davis","14","0","0","17","28","5","0"
"Gabe Davis","13","0","0","8","21","5","0"
"Gabe Davis","12","0","0","15","16","2","0"
"Gabe Davis","11","0","0","23","26","2","0"
"Gabe Davis","10","0","0","13","20","2","0"
"Gabe Davis","9","0","0","35","49","3","0"
"Gabe Davis","8","0","0","0","0","0","0"
"Gabe Davis","7","0","0","7","11","4","0"
"Gabe Davis","6","0","0","12","20","2","0"
"Gabe Davis","5","0","0","16","16","1","0"
"Gabe Davis","4","0","0","0","0","0","0"
"Gabe Davis","3","0","0","23","23","1","0"
"Gabe Davis","2","0","0","0","0","0","0"
"Gabe Davis","1","0","0","20","37","2","0"
"Robert Woods","1","0","0","14","22","7","0"
"Josh Palmer","17","0","0","11","23","4","0"
"Josh Palmer","16","0","0","5","8","3","0"
"Josh Palmer","15","0","0","8","12","5","0"
"Josh Palmer","14","0","0","15","15","1","0"
"Josh Palmer","13","0","0","13","36","5","0"
"Josh Palmer","12","0","0","0","0","0","0"
"Josh Palmer","11","0","0","12","18","2","0"
"Josh Palmer","10","0","0","17","17","1","0"
"Josh Palmer","9","0","0","7","13","3","0"
"Josh Palmer","8","0","0","11","15","2","0"
"Josh Palmer","7","0","0","24","24","1","0"
"Josh Palmer","6","0","0","8","8","1","0"
"Josh Palmer","5","0","0","6","7","2","0"
"Josh Palmer","4","0","0","0","0","0","0"
"Josh Palmer","3","0","0","0","0","0","0"
"Josh Palmer","2","0","0","10","16","2","0"
"Josh Palmer","1","0","0","17","17","1","0"
"Darnell Mooney","17","0","0","10","19","12","0"
"Darnell Mooney","16","0","0","9","18","7","0"
"Darnell Mooney","15","0","0","11","30","5","0"
"Darnell Mooney","14","0","0","12","27","5","0"
"Darnell Mooney","13","0","0","19","19","1","0"
"Darnell Mooney","12","0","0","5","12","5","0"
"Darnell Mooney","11","0","0","24","52","5","0"
"Darnell Mooney","10","0","0","24","60","5","0"
"Darnell Mooney","9","0","0","13","20","3","0"
"Darnell Mooney","8","0","0","10","20","6","0"
"Darnell Mooney","7","0","0","19","22","2","0"
"Darnell Mooney","6","0","0","9","15","5","0"
"Darnell Mooney","5","0","0","11","15","3","0"
"Darnell Mooney","4","0","0","25","64","5","0"
"Darnell Mooney","3","0","0","9","9","1","0"
"Darnell Mooney","2","0","0","11","21","6","0"
"Darnell Mooney","1","0","0","5","9","5","0"
"Courtland Sutton","17","0","0","13","13","1","0"
"Courtland Sutton","16","0","0","20","44","3","0"
"Courtland Sutton","15","0","0","8","16","4","0"
"Courtland Sutton","14","0","0","6","7","2","0"
"Courtland Sutton","13","0","0","9","9","1","0"
"Courtland Sutton","12","0","0","7","10","2","0"
"Courtland Sutton","11","0","0","8","12","2","0"
"Courtland Sutton","10","0","0","14","26","2","0"
"Courtland Sutton","9","0","0","9","9","1","0"
"Courtland Sutton","8","0","0","20","31","2","0"
"Courtland Sutton","7","0","0","13","31","5","0"
"Courtland Sutton","6","0","0","11","18","8","0"
"Courtland Sutton","5","0","0","17","39","7","0"
"Courtland Sutton","4","0","0","15","32","3","0"
"Courtland Sutton","3","0","0","7","14","5","0"
"Courtland Sutton","2","0","0","17","55","9","0"
"Courtland Sutton","1","0","0","14","14","1","0"
"Christian Kirk","1","0","0","14","33","7","0"
"Deebo Samuel","17","0","0","23","43","4","0"
"Deebo Samuel","16","0","0","21","45","3","0"
"Deebo Samuel","15","0","0","17","56","9","0"
"Deebo Samuel","14","0","0","15","30","4","0"
"Deebo Samuel","13","0","0","22","22","1","0"
"Deebo Samuel","12","0","0","0","0","0","0"
"Deebo Samuel","11","0","0","12","12","1","0"
"Deebo Samuel","10","0","0","15","15","1","0"
"Deebo Samuel","9","0","0","19","40","5","0"
"Deebo Samuel","8","0","0","12","32","5","0"
"Deebo Samuel","7","0","0","28","83","6","0"
"Deebo Samuel","6","0","0","14","29","7","0"
"Deebo Samuel","5","0","0","19","26","3","0"
"Deebo Samuel","4","0","0","19","76","8","0"
"Deebo Samuel","3","0","0","10","19","5","0"
"Deebo Samuel","2","0","0","15","40","6","0"
"Deebo Samuel","1","0","0","21","79","9","0"
"Justin Jefferson","17","0","0","21","45","5","0"
"Justin Jefferson","16","0","0","9","16","6","0"
"Justin Jefferson","15","0","0","14","34","8","0"
"Justin Jefferson","14","0","0","11","18","4","0"
"Justin Jefferson","13","0","0","11","22","7","0"
"Justin Jefferson","12","0","0","16","48","11","0"
"Justin Jefferson","11","0","0","20","30","4","0"
"Justin Jefferson","10","0","0","21","56","8","0"
"Justin Jefferson","9","0","0","15","27","9","0"
"Justin Jefferson","8","0","0","23","50","3","0"
"Justin Jefferson","7","0","0","10","18","2","0"
"Justin Jefferson","6","0","0","10","26","8","0"
"Justin Jefferson","5","0","0","17","37","7","0"
"Justin Jefferson","4","0","0","14","31","6","0"
"Justin Jefferson","3","0","0","13","28","9","0"
"Justin Jefferson","2","0","0","10","14","6","0"
"Justin Jefferson","1","0","0","14","34","5","0"
"Diontae Johnson","17","0","0","7","16","7","0"
"Diontae Johnson","16","0","0","3","10","8","0"
"Diontae Johnson","15","0","0","8","18","6","0"
"Diontae Johnson","14","0","0","7","16","5","0"
"Diontae Johnson","13","0","0","15","37","5","0"
"Diontae Johnson","12","0","0","13","29","8","0"
"Diontae Johnson","11","0","0","10","16","9","0"
"Diontae Johnson","10","0","0","14","32","7","0"
"Diontae Johnson","9","0","0","11","36","7","0"
"Diontae Johnson","8","0","0","11","22","5","0"
"Diontae Johnson","7","0","0","16","50","6","0"
"Diontae Johnson","6","0","0","7","23","9","0"
"Diontae Johnson","5","0","0","36","50","2","0"
"Diontae Johnson","4","0","0","10","45","9","0"
"Diontae Johnson","3","0","0","0","0","0","0"
"Diontae Johnson","2","0","0","11","41","9","0"
"Diontae Johnson","1","0","0","7","14","5","0"
"Tyler Boyd","16","0","0","9","17","4","0"
"Tyler Boyd","15","0","0","28","68","3","0"
"Tyler Boyd","14","0","0","19","56","5","0"
"Tyler Boyd","13","0","0","13","29","4","0"
"Tyler Boyd","12","0","0","17","32","5","0"
"Tyler Boyd","11","0","0","6","9","2","0"
"Tyler Boyd","10","0","0","8","14","6","0"
"Tyler Boyd","9","0","0","11","11","1","0"
"Tyler Boyd","8","0","0","13","21","5","0"
"Tyler Boyd","7","0","0","9","25","4","0"
"Tyler Boyd","6","0","0","7","7","1","0"
"Tyler Boyd","5","0","0","6","9","4","0"
"Tyler Boyd","4","0","0","13","33","9","0"
"Tyler Boyd","3","0","0","9","17","4","0"
"Tyler Boyd","2","0","0","10","22","7","0"
"Tyler Boyd","1","0","0","10","18","3","0"
"Hunter Renfrow","17","0","0","3","12","4","0"
"Hunter Renfrow","16","0","0","10","24","7","0"
"Hunter Renfrow","15","0","0","13","18","3","0"
"Hunter Renfrow","14","0","0","10","13","3","0"
"Hunter Renfrow","13","0","0","9","19","13","0"
"Hunter Renfrow","12","0","0","11","28","9","0"
"Hunter Renfrow","11","0","0","16","54","8","0"
"Hunter Renfrow","10","0","0","7","9","4","0"
"Hunter Renfrow","9","0","0","6","15","7","0"
"Hunter Renfrow","8","0","0","7","20","7","0"
"Hunter Renfrow","7","0","0","8","16","7","0"
"Hunter Renfrow","6","0","0","12","25","3","0"
"Hunter Renfrow","5","0","0","9","17","6","0"
"Hunter Renfrow","4","0","0","7","12","6","0"
"Hunter Renfrow","3","0","0","15","25","5","0"
"Hunter Renfrow","2","0","0","11","23","5","0"
"Hunter Renfrow","1","0","0","11","27","6","0"
"Chris Godwin","14","0","0","8","23","6","0"
"Chris Godwin","13","0","0","10","23","10","0"
"Chris Godwin","12","0","0","9","36","15","0"
"Chris Godwin","11","0","0","6","9","4","0"
"Chris Godwin","10","0","0","10","18","6","0"
"Chris Godwin","9","0","0","8","15","7","0"
"Chris Godwin","8","0","0","17","44","8","0"
"Chris Godwin","7","0","0","13","34","8","0"
"Chris Godwin","6","0","0","8","16","5","0"
"Chris Godwin","5","0","0","10","18","7","0"
"Chris Godwin","4","0","0","18","28","3","0"
"Chris Godwin","3","0","0","12","21","6","0"
"Chris Godwin","2","0","0","15","26","4","0"
"Chris Godwin","1","0","0","11","24","9","0"
"Allen Robinson","1","0","0","5","9","6","0"
"Isaiah Mckenzie","17","0","0","9","9","1","0"
"Isaiah Mckenzie","16","0","0","6","6","1","0"
"Isaiah Mckenzie","15","0","0","11","28","11","0"
"Isaiah Mckenzie","14","0","0","7","7","1","0"
"Isaiah Mckenzie","13","0","0","5","5","1","0"
"Isaiah Mckenzie","12","0","0","0","0","0","0"
"Isaiah Mckenzie","11","0","0","0","0","0","0"
"Isaiah Mckenzie","10","0","0","0","0","0","0"
"Isaiah Mckenzie","9","0","0","12","12","1","0"
"Isaiah Mckenzie","8","0","0","5","9","2","0"
"Isaiah Mckenzie","7","0","0","0","0","0","0"
"Isaiah Mckenzie","6","0","0","3","3","1","0"
"Isaiah Mckenzie","5","0","0","0","0","0","0"
"Isaiah Mckenzie","4","0","0","0","0","0","0"
"Isaiah Mckenzie","3","0","0","0","0","0","0"
"Isaiah Mckenzie","2","0","0","1","1","1","0"
"Isaiah Mckenzie","1","0","0","0","0","0","0"
"Russell Gage","2","0","0","11","19","11","0"
"Russell Gage","1","0","0","5","8","5","0"
"Dj Moore","17","0","0","12","20","7","0"
"Dj Moore","16","0","0","9","20","3","0"
"Dj Moore","15","0","0","11","19","5","0"
"Dj Moore","14","0","0","8","16","6","0"
"Dj Moore","13","0","0","14","22","6","0"
"Dj Moore","12","0","0","25","64","4","0"
"Dj Moore","11","0","0","10","13","5","0"
"Dj Moore","10","0","0","6","10","4","0"
"Dj Moore","9","0","0","10","13","3","0"
"Dj Moore","8","0","0","14","23","4","0"
"Dj Moore","7","0","0","12","21","6","0"
"Dj Moore","6","0","0","14","25","5","0"
"Dj Moore","5","0","0","8","14","5","0"
"Dj Moore","4","0","0","14","39","8","0"
"Dj Moore","3","0","0","15","29","8","0"
"Dj Moore","2","0","0","9","20","8","0"
"Dj Moore","1","0","0","13","27","6","0"
"Mike Evans","17","0","0","14","37","6","0"
"Mike Evans","16","0","0","11","31","4","0"
"Mike Evans","15","0","0","0","0","0","0"
"Mike Evans","14","0","0","14","14","1","0"
"Mike Evans","13","0","0","15","24","6","0"
"Mike Evans","12","0","0","14","36","7","0"
"Mike Evans","11","0","0","5","9","3","0"
"Mike Evans","10","0","0","12","21","6","0"
"Mike Evans","9","0","0","31","40","2","0"
"Mike Evans","8","0","0","24","41","2","0"
"Mike Evans","7","0","0","12","46","6","0"
"Mike Evans","6","0","0","13","22","2","0"
"Mike Evans","5","0","0","18","34","6","0"
"Mike Evans","4","0","0","10","28","7","0"
"Mike Evans","3","0","0","13","20","8","0"
"Mike Evans","2","0","0","15","26","5","0"
"Mike Evans","1","0","0","8","10","3","0"
"Dk Metcalf","17","0","0","11","31","5","0"
"Dk Metcalf","16","0","0","10","17","6","0"
"Dk Metcalf","15","0","0","20","41","2","0"
"Dk Metcalf","14","0","0","8","12","6","0"
"Dk Metcalf","13","0","0","10","22","4","0"
"Dk Metcalf","12","0","0","12","33","5","0"
"Dk Metcalf","11","0","0","13","13","1","0"
"Dk Metcalf","10","0","0","7","14","4","0"
"Dk Metcalf","9","0","0","8","18","3","0"
"Dk Metcalf","8","0","0","7","16","6","0"
"Dk Metcalf","7","0","0","48","84","2","0"
"Dk Metcalf","6","0","0","9","14","6","0"
"Dk Metcalf","5","0","0","19","25","5","0"
"Dk Metcalf","4","0","0","16","28","4","0"
"Dk Metcalf","3","0","0","17","28","6","0"
"Dk Metcalf","2","0","0","8","16","6","0"
"Dk Metcalf","1","0","0","15","30","4","0"
"Brandin Cooks","16","0","0","8","25","3","0"
"Brandin Cooks","15","0","0","9","24","7","0"
"Brandin Cooks","14","0","0","14","43","7","0"
"Brandin Cooks","13","0","0","12","19","8","0"
"Brandin Cooks","12","0","0","12","14","3","0"
"Brandin Cooks","11","0","0","15","40","3","0"
"Brandin Cooks","10","0","0","9","10","2","0"
"Brandin Cooks","9","0","0","9","10","6","0"
"Brandin Cooks","8","0","0","13","45","6","0"
"Brandin Cooks","7","0","0","4","18","5","0"
"Brandin Cooks","6","0","0","9","20","9","0"
"Brandin Cooks","5","0","0","7","14","3","0"
"Brandin Cooks","4","0","0","9","16","5","0"
"Brandin Cooks","3","0","0","12","30","9","0"
"Brandin Cooks","2","0","0","8","22","9","0"
"Brandin Cooks","1","0","0","26","52","5","0"
"Deandre Hopkins","13","0","0","10","15","5","0"
"Deandre Hopkins","12","0","0","16","20","2","0"
"Deandre Hopkins","11","0","0","0","0","0","0"
"Deandre Hopkins","10","0","0","0","0","0","0"
"Deandre Hopkins","9","0","0","0","0","0","0"
"Deandre Hopkins","8","0","0","33","55","2","0"
"Deandre Hopkins","7","0","0","7","15","7","0"
"Deandre Hopkins","6","0","0","18","33","3","0"
"Deandre Hopkins","5","0","0","14","30","6","0"
"Deandre Hopkins","4","0","0","16","25","4","0"
"Deandre Hopkins","3","0","0","7","8","3","0"
"Deandre Hopkins","2","0","0","13","16","4","0"
"Deandre Hopkins","1","0","0","13","38","6","0"
"Michael Gallup","9","0","0","12","21","3","0"
"Michael Gallup","8","0","0","26","40","2","0"
"Michael Gallup","7","0","0","10","19","3","0"
"Michael Gallup","6","0","0","12","24","5","0"
"Michael Gallup","5","0","0","7","17","5","0"
"Michael Gallup","4","0","0","21","41","5","0"
"Michael Gallup","3","0","0","8","16","5","0"
"Michael Gallup","2","0","0","14","23","3","0"
"Michael Gallup","1","0","0","9","12","4","0"
"Devonta Smith","17","0","0","13","25","3","0"
"Devonta Smith","16","0","0","18","30","3","0"
"Devonta Smith","15","0","0","16","46","5","0"
"Devonta Smith","14","0","0","13","28","3","0"
"Devonta Smith","13","0","0","7","13","2","0"
"Devonta Smith","12","0","0","11","14","2","0"
"Devonta Smith","11","0","0","15","33","4","0"
"Devonta Smith","10","0","0","16","36","4","0"
"Devonta Smith","9","0","0","23","28","5","0"
"Devonta Smith","8","0","0","15","15","1","0"
"Devonta Smith","7","0","0","12","20","5","0"
"Devonta Smith","6","0","0","15","25","2","0"
"Devonta Smith","5","0","0","11","17","7","0"
"Devonta Smith","4","0","0","17","37","7","0"
"Devonta Smith","3","0","0","9","19","3","0"
"Devonta Smith","2","0","0","8","11","2","0"
"Devonta Smith","1","0","0","11","19","6","0"
"Juju Smithschuster","1","5","5","26","0","5","5"
"Kadarius Toney","16","0","0","0","0","0","0"
"Kadarius Toney","15","0","0","0","0","0","0"
"Kadarius Toney","14","0","0","7","8","4","0"
"Kadarius Toney","13","0","0","0","0","0","0"
"Kadarius Toney","12","0","0","0","0","0","0"
"Kadarius Toney","11","0","0","0","0","0","0"
"Kadarius Toney","10","0","0","5","8","7","0"
"Kadarius Toney","9","0","0","9","9","1","0"
"Kadarius Toney","8","0","0","6","11","4","0"
"Kadarius Toney","7","0","0","0","0","0","0"
"Kadarius Toney","6","0","0","12","17","3","0"
"Kadarius Toney","5","0","0","18","38","10","0"
"Kadarius Toney","4","0","0","13","21","6","0"
"Kadarius Toney","3","0","0","8","9","2","0"
"Kadarius Toney","2","0","0","0","0","0","0"
"Kadarius Toney","1","0","0","1","4","2","0"
"Tyler Lockett","16","0","0","19","43","5","0"
"Tyler Lockett","15","0","0","8","28","3","0"
"Tyler Lockett","14","0","0","10","15","3","0"
"Tyler Lockett","13","0","0","28","55","5","0"
"Tyler Lockett","12","0","0","9","16","7","0"
"Tyler Lockett","11","0","0","32","55","3","0"
"Tyler Lockett","10","0","0","28","48","4","0"
"Tyler Lockett","9","0","0","11","16","2","0"
"Tyler Lockett","8","0","0","11","28","12","0"
"Tyler Lockett","7","0","0","6","7","2","0"
"Tyler Lockett","6","0","0","17","21","2","0"
"Tyler Lockett","5","0","0","11","25","5","0"
"Tyler Lockett","4","0","0","6","19","4","0"
"Tyler Lockett","3","0","0","7","15","4","0"
"Tyler Lockett","2","0","0","22","63","8","0"
"Tyler Lockett","1","0","0","25","69","4","0"
"Jakobi Meyers","17","0","0","17","39","4","0"
"Jakobi Meyers","16","0","0","9","17","8","0"
"Jakobi Meyers","15","0","0","9","21","6","0"
"Jakobi Meyers","14","0","0","7","10","6","0"
"Jakobi Meyers","13","0","0","0","0","0","0"
"Jakobi Meyers","12","0","0","19","38","5","0"
"Jakobi Meyers","11","0","0","9","18","4","0"
"Jakobi Meyers","10","0","0","12","26","4","0"
"Jakobi Meyers","9","0","0","8","8","1","0"
"Jakobi Meyers","8","0","0","9","16","4","0"
"Jakobi Meyers","7","0","0","8","19","5","0"
"Jakobi Meyers","6","0","0","8","14","5","0"
"Jakobi Meyers","5","0","0","14","24","4","0"
"Jakobi Meyers","4","0","0","8","21","8","0"
"Jakobi Meyers","3","0","0","10","27","9","0"
"Jakobi Meyers","2","0","0","9","24","4","0"
"Jakobi Meyers","1","0","0","7","22","6","0"
"Keenan Allen","16","0","0","8","14","6","0"
"Keenan Allen","15","0","0","11","16","4","0"
"Keenan Allen","14","0","0","8","15","4","0"
"Keenan Allen","13","0","0","13","29","6","0"
"Keenan Allen","12","0","0","6","10","5","0"
"Keenan Allen","11","0","0","12","24","7","0"
"Keenan Allen","10","0","0","12","30","9","0"
"Keenan Allen","9","0","0","12","26","8","0"
"Keenan Allen","8","0","0","8","18","12","0"
"Keenan Allen","7","0","0","12","41","6","0"
"Keenan Allen","6","0","0","10","21","5","0"
"Keenan Allen","5","0","0","12","37","6","0"
"Keenan Allen","4","0","0","5","9","7","0"
"Keenan Allen","3","0","0","6","15","8","0"
"Keenan Allen","2","0","0","27","42","4","0"
"Keenan Allen","1","0","0","11","17","9","0"
"Chase Claypool","17","0","0","7","10","5","0"
"Chase Claypool","16","0","0","5","8","3","0"
"Chase Claypool","15","0","0","10","24","4","0"
"Chase Claypool","14","0","0","0","12","0","0"
"Chase Claypool","13","0","0","11","38","8","0"
"Chase Claypool","12","0","0","26","40","2","0"
"Chase Claypool","11","0","0","27","41","3","0"
"Chase Claypool","10","0","0","18","37","5","0"
"Chase Claypool","9","0","0","0","0","0","0"
"Chase Claypool","8","0","0","10","26","3","0"
"Chase Claypool","7","0","0","11","16","4","0"
"Chase Claypool","6","0","0","8","12","2","0"
"Chase Claypool","5","0","0","26","59","5","0"
"Chase Claypool","4","0","0","0","0","0","0"
"Chase Claypool","3","0","0","10","29","9","0"
"Chase Claypool","2","0","0","23","52","3","0"
"Chase Claypool","1","0","0","15","22","3","0"
"Tee Higgins","17","0","0","0","0","0","0"
"Tee Higgins","16","0","0","20","39","3","0"
"Tee Higgins","15","0","0","16","52","12","0"
"Tee Higgins","14","0","0","11","17","2","0"
"Tee Higgins","13","0","0","22","27","5","0"
"Tee Higgins","12","0","0","15","29","9","0"
"Tee Higgins","11","0","0","19","32","6","0"
"Tee Higgins","10","0","0","7","9","2","0"
"Tee Higgins","9","0","0","13","20","6","0"
"Tee Higgins","8","0","0","24","54","4","0"
"Tee Higgins","7","0","0","8","11","7","0"
"Tee Higgins","6","0","0","14","23","3","0"
"Tee Higgins","5","0","0","6","10","5","0"
"Tee Higgins","4","0","0","0","0","0","0"
"Tee Higgins","3","0","0","0","0","0","0"
"Tee Higgins","2","0","0","10","14","6","0"
"Tee Higgins","1","0","0","14","28","4","0"
"Cooper Kupp","17","0","0","16","46","7","0"
"Cooper Kupp","16","0","0","15","24","6","0"
"Cooper Kupp","15","0","0","10","37","10","0"
"Cooper Kupp","14","0","0","15","42","9","0"
"Cooper Kupp","13","0","0","9","44","13","0"
"Cooper Kupp","12","0","0","16","43","8","0"
"Cooper Kupp","11","0","0","13","22","7","0"
"Cooper Kupp","10","0","0","11","29","11","0"
"Cooper Kupp","9","0","0","8","17","11","0"
"Cooper Kupp","8","0","0","16","52","7","0"
"Cooper Kupp","7","0","0","15","59","10","0"
"Cooper Kupp","6","0","0","14","30","9","0"
"Cooper Kupp","5","0","0","13","33","7","0"
"Cooper Kupp","4","0","0","12","35","5","0"
"Cooper Kupp","3","0","0","10","22","9","0"
"Cooper Kupp","2","0","0","18","44","9","0"
"Cooper Kupp","1","0","0","15","56","7","0"
"Stefon Diggs","17","0","0","9","17","9","0"
"Stefon Diggs","16","0","0","10","15","5","0"
"Stefon Diggs","15","0","0","12","23","7","0"
"Stefon Diggs","14","0","0","8","11","4","0"
"Stefon Diggs","13","0","0","10","24","7","0"
"Stefon Diggs","12","0","0","12","26","4","0"
"Stefon Diggs","11","0","0","10","28","7","0"
"Stefon Diggs","10","0","0","5","9","4","0"
"Stefon Diggs","9","0","0","20","57","8","0"
"Stefon Diggs","8","0","0","14","28","6","0"
"Stefon Diggs","7","0","0","8","19","5","0"
"Stefon Diggs","6","0","0","9","17","9","0"
"Stefon Diggs","5","0","0","34","61","2","0"
"Stefon Diggs","4","0","0","16","37","7","0"
"Stefon Diggs","3","0","0","10","13","6","0"
"Stefon Diggs","2","0","0","15","41","4","0"
"Stefon Diggs","1","0","0","7","13","9","0"
"Jaylen Waddle","16","0","0","5","9","5","0"
"Jaylen Waddle","15","0","0","15","45","3","0"
"Jaylen Waddle","14","0","0","9","24","10","0"
"Jaylen Waddle","13","0","0","10","25","9","0"
"Jaylen Waddle","12","0","0","15","57","9","0"
"Jaylen Waddle","11","0","0","8","15","8","0"
"Jaylen Waddle","10","0","0","15","35","4","0"
"Jaylen Waddle","9","0","0","10","17","8","0"
"Jaylen Waddle","8","0","0","7","12","4","0"
"Jaylen Waddle","7","0","0","11","19","7","0"
"Jaylen Waddle","6","0","0","7","14","10","0"
"Jaylen Waddle","5","0","0","15","21","2","0"
"Jaylen Waddle","4","0","0","11","18","3","0"
"Jaylen Waddle","3","0","0","4","9","12","0"
"Jaylen Waddle","2","0","0","8","14","6","0"
"Jaylen Waddle","1","0","0","15","36","4","0"
"Rashod Bateman","12","0","0","11","19","2","0"
"Rashod Bateman","11","0","0","8","15","7","0"
"Rashod Bateman","10","0","0","6","11","4","0"
"Rashod Bateman","9","0","0","5","5","1","0"
"Rashod Bateman","8","0","0","14","36","7","0"
"Rashod Bateman","7","0","0","0","0","0","0"
"Rashod Bateman","6","0","0","7","13","4","0"
"Rashod Bateman","5","0","0","9","15","3","0"
"Rashod Bateman","4","0","0","13","30","6","0"
"Rashod Bateman","3","0","0","10","15","5","0"
"Rashod Bateman","2","0","0","26","35","3","0"
