"Player Name","Week","TAR","RECPT","REYD","RETD","REAVG","FPTS"
"Nico Collins","14","0","0","22","30","3","0"
"Nico Collins","13","0","0","17","20","2","0"
"Nico Collins","12","0","0","11","13","3","0"
"Nico Collins","11","0","0","7","7","2","0"
"Nico Collins","10","0","0","13","30","5","0"
"Nico Collins","9","0","0","0","0","0","0"
"Nico Collins","8","0","0","14","20","2","0"
"Nico Collins","7","0","0","9","9","1","0"
"Nico Collins","6","0","0","8","11","3","0"
"Nico Collins","5","0","0","13","26","4","0"
"Nico Collins","4","0","0","14","22","2","0"
"Nico Collins","3","0","0","11","18","4","0"
"Nico Collins","2","0","0","32","32","1","0"
"Nico Collins","1","0","0","7","7","1","0"
"Rondale Moore","17","0","0","0","0","0","0"
"Rondale Moore","16","0","0","0","0","0","0"
"Rondale Moore","15","0","0","0","0","0","0"
"Rondale Moore","14","0","0","3","10","3","0"
"Rondale Moore","13","0","0","1","7","3","0"
"Rondale Moore","12","0","0","8","8","1","0"
"Rondale Moore","11","0","0","4","11","11","0"
"Rondale Moore","10","0","0","5","7","2","0"
"Rondale Moore","9","0","0","5","9","5","0"
"Rondale Moore","8","0","0","8","9","3","0"
"Rondale Moore","7","0","0","8","16","2","0"
"Rondale Moore","6","0","0","5","10","3","0"
"Rondale Moore","5","0","0","11","33","5","0"
"Rondale Moore","4","0","0","9","16","3","0"
"Rondale Moore","3","0","0","0","3","2","0"
"Rondale Moore","2","0","0","16","77","7","0"
"Rondale Moore","1","0","0","17","29","4","0"
"Devante Parker","2","0","0","6","9","2","0"
"Devante Parker","1","0","0","20","30","4","0"
"Adam Thielen","15","0","0","13","25","3","0"
"Adam Thielen","14","0","0","0","0","0","0"
"Adam Thielen","13","0","0","0","0","0","0"
"Adam Thielen","12","0","0","0","0","1","0"
"Adam Thielen","11","0","0","12","29","5","0"
"Adam Thielen","10","0","0","10","26","8","0"
"Adam Thielen","9","0","0","13","19","5","0"
"Adam Thielen","8","0","0","3","5","2","0"
"Adam Thielen","7","0","0","13","32","6","0"
"Adam Thielen","6","0","0","11","35","11","0"
"Adam Thielen","5","0","0","20","21","2","0"
"Adam Thielen","4","0","0","15","22","3","0"
"Adam Thielen","3","0","0","8","21","6","0"
