"Player Name","Position","Rank","NumTeamExp","Team Name","Height","Weight","Age","College","Bye","IMG","Drafted"
"Devin Singletary","RB",,"4","Buffalo Bills","5-7","203lbs","25","FAU",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2241251.png?width=160","False"
"Mike Davis","RB",,"8","Baltimore Ravens","5-9","220lbs","29","South Carolina",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2000079.png?width=160","False"
"James Robinson","RB",,"3","Jacksonville Jaguars","5-9","219lbs","24","Illinois St.",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2257036.png?width=160","False"
"Jk Dobbins","RB",,"3","Baltimore Ravens","5-10","212lbs","23","Ohio St.",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2804420.png?width=160","False"
"Melvin Gordon","RB",,"8","Denver Broncos","6-1","215lbs","29","Wisconsin",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/1871347.png?width=160","False"
"Jonathan Taylor","RB",,"3","Indianapolis Colts","5-10","226lbs","23","Wisconsin",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2866395.png?width=160","False"
"Alvin Kamara","RB",,"6","New Orleans Saints","5-10","215lbs","27","Tennessee",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2082721.png?width=160","False"
"Damien Harris","RB",,"4","New England Patriots","5-11","213lbs","25","Alabama",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2186318.png?width=160","False"
"Cordarrelle Patterson","RB",,"10","Atlanta Falcons","6-2","227lbs","31","Tennessee",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/1996183.png?width=160","False"
"Austin Ekeler","RB",,"6","Los Angeles Chargers","5-10","200lbs","27","Western State (Colo.)",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2820090.png?width=160","False"
"Tony Pollard","RB",,"4","Dallas Cowboys","6-0","212lbs","25","Memphis",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2184011.png?width=160","False"
