"Player Name","Position","Rank","NumTeamExp","Team Name","Height","Weight","Age","College","Bye","IMG","Drafted"
"Clyde Edwardshelaire","RB",,"3","Kansas City Chiefs","5-7","207lbs","23","LSU",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2804554.png?width=160","False"
"Najee Harris","RB",,"2","Pittsburgh Steelers","6-1","242lbs","24","Alabama",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2741200.png?width=160","False"
"Miles Sanders","RB",,"4","Philadelphia Eagles","5-11","211lbs","25","Penn St.",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2251305.png?width=160","False"
"Christian Mccaffrey","RB",,"6","Carolina Panthers","5-11","205lbs","26","Stanford",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2136743.png?width=160","False"
"Chase Edmonds","RB",,"5","Miami Dolphins","5-9","201lbs","26","Fordham",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2137507.png?width=160","False"
"Boston Scott","RB",,"4","Philadelphia Eagles","5-6","203lbs","27","Louisiana Tech",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2079334.png?width=160","False"
"Aj Dillon","RB",,"3","Green Bay Packers","6-0","247lbs","24","Boston College",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2867083.png?width=160","False"
"Brian Robinson Jr","RB",,"","Washington Commanders","6-1","225lbs","23","Alabama",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2741207.png?width=160","False"
"Jd Mckissic","RB",,"6","Washington Commanders","5-10","195lbs","29","Arkansas St.",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/1886804.png?width=160","False"
"Dalvin Cook","RB",,"6","Minnesota Vikings","5-10","210lbs","27","Florida St.",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2130893.png?width=160","False"
"Kenneth Walker Iii","RB",,"","Seattle Seahawks","5-9","211lbs","21","Michigan St.",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/3121372.png?width=160","False"
"Mark Ingram","RB",,"12","New Orleans Saints","5-9","215lbs","32","Alabama",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/1623793.png?width=160","False"
"Kenneth Gainwell","RB",,"2","Philadelphia Eagles","5-9","200lbs","23","Memphis",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2968948.png?width=160","False"
"Isiah Pacheco","RB",,"","Kansas City Chiefs","5-10","216lbs","23","Rutgers",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2966551.png?width=160","False"
"Rhamondre Stevenson","RB",,"2","New England Patriots","6-0","230lbs","24","Oklahoma",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/3125832.png?width=160","False"
"Antonio Gibson","RB",,"3","Washington Commanders","6-2","220lbs","24","Memphis",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2960976.png?width=160","False"
"David Montgomery","RB",,"4","Chicago Bears","5-11","224lbs","25","Iowa St.",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2261252.png?width=160","False"
"Nyheim Hines","RB",,"5","Indianapolis Colts","5-9","196lbs","25","NC State",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2183832.png?width=160","False"
"Elijah Mitchell","RB",,"2","San Francisco 49ers","5-10","200lbs","24","Louisiana",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2819876.png?width=160","False"
"Rashaad Penny","RB",,"5","Seattle Seahawks","5-11","220lbs","26","San Diego St.",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2144893.png?width=160","False"
"Michael Carter","RB",,"2","New York Jets","5-8","201lbs","23","North Carolina",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2804075.png?width=160","False"
"Dandre Swift","RB",,"3","Detroit Lions","5-9","208lbs","23","Georgia",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2871710.png?width=160","False"
"Kareem Hunt","RB",,"6","Cleveland Browns","5-11","216lbs","27","Toledo",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2079567.png?width=160","False"
"Zamir White","RB",,"","Las Vegas Raiders","5-11","214lbs","22","Georgia",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2963641.png?width=160","False"
"Tyrion Davisprice","RB",,"","San Francisco 49ers","6-1","219lbs","21","LSU",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/3123979.png?width=160","False"
"Josh Jacobs","RB",,"4","Las Vegas Raiders","5-10","220lbs","24","Alabama",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2257876.png?width=160","False"
"Rachaad White","RB",,"","Tampa Bay Buccaneers","6-0","214lbs","23","Arizona St.",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/3169147.png?width=160","False"
"Jeff Wilson","RB",,"5","San Francisco 49ers","6-0","213lbs","26","North Texas",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2925161.png?width=160","False"
"Jerick Mckinnon","RB",,"9","Kansas City Chiefs","5-9","209lbs","30","Ga. Southern",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2129436.png?width=160","False"
"Nick Chubb","RB",,"5","Cleveland Browns","5-11","227lbs","26","Georgia",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2131579.png?width=160","False"
"Rex Burkhead","RB",,"10","Houston Texans","5-10","215lbs","32","Nebraska",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/1679738.png?width=160","False"
"Derrick Henry","RB",,"7","Tennessee Titans","6-3","247lbs","28","Alabama",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2061188.png?width=160","False"
"Eno Benjamin","RB",,"3","Arizona Cardinals","5-9","207lbs","23","Arizona St.",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2760832.png?width=160","False"
"Raheem Mostert","RB",,"8","Miami Dolphins","5-10","205lbs","30","Purdue",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2174957.png?width=160","False"
"Leonard Fournette","RB",,"6","Tampa Bay Buccaneers","6-0","228lbs","27","LSU",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2131693.png?width=160","False"
"Dameon Pierce","RB",,"","Houston Texans","5-10","218lbs","22","Florida",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2964236.png?width=160","False"
"Javonte Williams","RB",,"2","Denver Broncos","5-10","220lbs","22","North Carolina",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2961719.png?width=160","False"
"Saquon Barkley","RB",,"5","New York Giants","6-0","232lbs","25","Penn St.",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2185957.png?width=160","False"
"Alexander Mattison","RB",,"4","Minnesota Vikings","5-11","215lbs","24","Boise St.",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2257933.png?width=160","False"
"Darrell Henderson Jr","RB",,"4","Los Angeles Rams","5-8","208lbs","25","Memphis",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2240590.png?width=160","False"
"Ezekiel Elliott","RB",,"7","Dallas Cowboys","6-0","226lbs","27","Ohio St.",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2060769.png?width=160","False"
"Breece Hall","RB",,"","New York Jets","5-11","217lbs","21","Iowa St.",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/3123469.png?width=160","False"
"Joe Mixon","RB",,"6","Cincinnati Bengals","6-1","220lbs","26","Oklahoma",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2131143.png?width=160","False"
"Dontrell Hilliard","RB",,"5","Tennessee Titans","5-11","202lbs","27","Tulane",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2925536.png?width=160","False"
"Kenyan Drake","RB",,"7","Baltimore Ravens","6-1","211lbs","28","Alabama",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2000903.png?width=160","False"
"James Conner","RB",,"6","Arizona Cardinals","6-1","233lbs","27","Pittsburgh",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2071585.png?width=160","False"
"Travis Etienne","RB",,"2","Jacksonville Jaguars","5-10","215lbs","23","Clemson",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2809206.png?width=160","False"
"Cam Akers","RB",,"2","Los Angeles Rams","5-10","217lbs","23","Florida St.",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2804034.png?width=160","False"
"Tyler Allgeier","RB",,"","Atlanta Falcons","5-10","224lbs","22","BYU",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2975590.png?width=160","False"
"Khalil Herbert","RB",,"2","Chicago Bears","5-9","212lbs","24","Virginia Tech",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2253041.png?width=160","False"
"Jamaal Williams","RB",,"6","Detroit Lions","6-0","224lbs","27","BYU",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2001287.png?width=160","False"
"Aaron Jones","RB",,"6","Green Bay Packers","5-9","208lbs","27","UTEP",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2071937.png?width=160","False"
"James Cook","RB",,"","Buffalo Bills","5-11","190lbs","22","Georgia",,"https://sportshub.cbsistatic.com/i/sports/player/headshot/2975698.png?width=160","False"
