"Player Name","Week","RUATT","RUYD","RUTD","RECPT","REYD","RETD","FPTS"
"Devin Singletary","17","19","88","1","2","24","1","0"
"Devin Singletary","16","23","110","2","0","0","0","0"
"Devin Singletary","15","12","39","1","5","39","0","0"
"Devin Singletary","14","22","86","1","1","10","0","0"
"Devin Singletary","13","4","52","0","6","37","0","0"
"Devin Singletary","12","10","36","0","0","0","0","0"
"Devin Singletary","11","15","44","0","1","4","0","0"
"Devin Singletary","10","3","17","0","3","26","0","0"
"Devin Singletary","9","7","43","1","1","6","0","0"
"Devin Singletary","8","6","16","0","7","43","0","0"
"Devin Singletary","7","7","28","0","1","1","0","0"
"Devin Singletary","6","5","27","0","5","16","0","0"
"Devin Singletary","5","6","25","0","1","2","0","0"
"Devin Singletary","4","14","79","0","1","7","0","0"
"Devin Singletary","3","11","26","0","1","0","0","0"
"Devin Singletary","2","13","82","1","2","9","0","0"
"Devin Singletary","1","11","72","0","3","8","0","0"
"James Robinson","15","3","10","0","0","0","0","0"
"James Robinson","14","18","75","1","3","13","0","0"
"James Robinson","13","6","4","0","0","0","0","0"
"James Robinson","12","8","24","0","1","11","0","0"
"James Robinson","11","17","86","0","3","29","0","0"
"James Robinson","10","12","29","1","2","9","0","0"
"James Robinson","9","12","57","1","4","27","0","0"
"James Robinson","8","0","0","0","0","0","0","0"
"James Robinson","7","4","22","0","1","17","0","0"
"James Robinson","6","17","73","1","3","28","0","0"
"James Robinson","5","18","149","1","1","2","0","0"
"James Robinson","4","18","78","2","1","2","0","0"
"James Robinson","3","15","88","1","6","46","0","0"
"James Robinson","2","11","47","0","3","17","0","0"
"James Robinson","1","5","25","0","3","29","0","0"
"Melvin Gordon","17","12","110","1","1","6","0","0"
"Melvin Gordon","16","10","43","0","3","29","0","0"
"Melvin Gordon","15","7","4","0","1","4","0","0"
"Melvin Gordon","14","15","53","0","1","8","0","0"
"Melvin Gordon","13","24","111","2","0","0","0","0"
"Melvin Gordon","12","0","0","0","0","0","0","0"
"Melvin Gordon","11","17","83","0","1","5","0","0"
"Melvin Gordon","10","9","45","1","1","2","0","0"
"Melvin Gordon","9","21","80","1","2","15","0","0"
"Melvin Gordon","8","10","47","1","3","15","1","0"
"Melvin Gordon","7","8","18","0","2","14","1","0"
"Melvin Gordon","6","10","50","0","3","23","0","0"
"Melvin Gordon","5","9","34","0","2","9","0","0"
"Melvin Gordon","4","9","56","0","2","11","0","0"
"Melvin Gordon","3","18","60","1","1","21","0","0"
"Melvin Gordon","2","13","31","0","2","38","0","0"
"Melvin Gordon","1","11","101","1","3","17","0","0"
"Jonathan Taylor","17","15","77","0","3","18","0","0"
"Jonathan Taylor","16","20","108","1","1","6","0","0"
"Jonathan Taylor","15","27","108","0","0","0","0","0"
"Jonathan Taylor","14","29","170","1","0","0","0","0"
"Jonathan Taylor","13","32","143","2","0","0","0","0"
"Jonathan Taylor","12","16","83","1","4","14","0","0"
"Jonathan Taylor","11","32","185","4","3","19","1","0"
"Jonathan Taylor","10","21","116","1","6","10","0","0"
"Jonathan Taylor","9","19","172","2","2","28","0","0"
"Jonathan Taylor","8","16","70","1","3","52","0","0"
"Jonathan Taylor","7","18","107","1","3","3","0","0"
"Jonathan Taylor","6","14","145","2","1","13","0","0"
"Jonathan Taylor","5","15","53","1","3","116","1","0"
"Jonathan Taylor","4","16","103","1","3","11","0","0"
"Jonathan Taylor","3","10","64","0","1","8","0","0"
"Jonathan Taylor","2","15","51","0","1","2","0","0"
"Jonathan Taylor","1","17","56","0","6","60","0","0"
"Alvin Kamara","17","30","146","0","2","16","0","0"
"Alvin Kamara","16","13","32","0","5","68","1","0"
"Alvin Kamara","15","13","52","0","2","7","0","0"
"Alvin Kamara","14","11","18","0","2","13","0","0"
"Alvin Kamara","13","27","120","1","4","25","0","0"
"Alvin Kamara","12","0","0","0","0","0","0","0"
"Alvin Kamara","11","0","0","0","0","0","0","0"
"Alvin Kamara","10","0","0","0","0","0","0","0"
"Alvin Kamara","9","0","0","0","0","0","0","0"
"Alvin Kamara","8","13","50","1","4","54","0","0"
"Alvin Kamara","7","19","61","1","3","15","0","0"
"Alvin Kamara","6","20","51","0","10","128","1","0"
"Alvin Kamara","5","16","71","1","5","51","1","0"
"Alvin Kamara","4","26","120","0","0","0","0","0"
"Alvin Kamara","3","24","89","0","3","29","1","0"
"Alvin Kamara","2","8","5","0","4","25","0","0"
"Alvin Kamara","1","20","83","0","3","8","1","0"
"Damien Harris","17","11","37","1","4","36","0","0"
"Damien Harris","16","9","35","2","1","12","0","0"
"Damien Harris","15","18","103","3","0","0","0","0"
"Damien Harris","14","0","0","0","0","0","0","0"
"Damien Harris","13","10","111","1","0","0","0","0"
"Damien Harris","12","11","40","1","1","12","0","0"
"Damien Harris","11","10","56","0","1","9","0","0"
"Damien Harris","10","0","0","0","0","0","0","0"
"Damien Harris","9","15","30","1","1","3","0","0"
"Damien Harris","8","23","80","1","0","0","0","0"
"Damien Harris","7","14","106","2","2","7","0","0"
"Damien Harris","6","18","101","1","1","7","0","0"
"Damien Harris","5","14","58","1","0","0","0","0"
"Damien Harris","4","4","4","0","2","30","0","0"
"Damien Harris","3","6","14","0","2","3","0","0"
"Damien Harris","2","16","62","1","1","2","0","0"
"Damien Harris","1","23","100","0","2","17","0","0"
"Cordarrelle Patterson","17","4","11","0","1","1","0","0"
"Cordarrelle Patterson","16","9","28","0","2","24","0","0"
"Cordarrelle Patterson","15","7","14","1","1","1","0","0"
"Cordarrelle Patterson","14","11","18","0","2","5","0","0"
"Cordarrelle Patterson","13","16","58","1","2","1","0","0"
"Cordarrelle Patterson","12","13","78","0","3","18","0","0"
"Cordarrelle Patterson","11","16","108","2","2","27","0","0"
"Cordarrelle Patterson","10","0","0","0","0","0","0","0"
"Cordarrelle Patterson","9","4","25","0","1","14","0","0"
"Cordarrelle Patterson","8","9","10","0","6","126","0","0"
"Cordarrelle Patterson","7","9","35","0","5","37","1","0"
"Cordarrelle Patterson","6","14","60","1","2","1","0","0"
"Cordarrelle Patterson","5","14","54","0","7","60","0","0"
"Cordarrelle Patterson","4","6","34","0","5","82","3","0"
"Cordarrelle Patterson","3","7","20","0","6","82","0","0"
"Cordarrelle Patterson","2","7","11","1","5","58","1","0"
"Cordarrelle Patterson","1","7","54","0","2","13","0","0"
"Austin Ekeler","16","16","64","1","5","35","1","0"
"Austin Ekeler","15","17","58","1","3","54","0","0"
"Austin Ekeler","14","12","59","1","4","23","0","0"
"Austin Ekeler","13","12","67","1","2","17","0","0"
"Austin Ekeler","12","14","59","1","5","45","0","0"
"Austin Ekeler","11","12","31","0","6","68","1","0"
"Austin Ekeler","10","11","50","2","6","65","2","0"
"Austin Ekeler","9","11","44","0","3","15","1","0"
"Austin Ekeler","8","17","59","0","3","23","0","0"
"Austin Ekeler","7","11","64","1","6","60","0","0"
"Austin Ekeler","6","6","7","0","4","48","0","0"
"Austin Ekeler","5","17","66","2","5","53","1","0"
"Austin Ekeler","4","15","117","1","3","28","1","0"
"Austin Ekeler","3","11","55","0","6","52","1","0"
"Austin Ekeler","2","9","54","0","9","61","0","0"
"Austin Ekeler","1","15","57","1","0","0","0","0"
"Tony Pollard","17","0","0","0","0","0","0","0"
"Tony Pollard","16","3","9","0","3","49","0","0"
"Tony Pollard","15","8","34","0","2","16","0","0"
"Tony Pollard","14","12","74","0","3","13","0","0"
"Tony Pollard","13","0","0","0","0","0","0","0"
"Tony Pollard","12","7","71","1","2","3","0","0"
"Tony Pollard","11","10","36","0","4","32","0","0"
"Tony Pollard","10","7","50","0","2","20","0","0"
"Tony Pollard","9","11","42","0","6","56","0","0"
"Tony Pollard","8","4","11","0","1","32","0","0"
"Tony Pollard","7","7","26","0","1","1","0","0"
"Tony Pollard","6","10","41","0","3","22","0","0"
"Tony Pollard","5","14","75","0","4","28","0","0"
"Tony Pollard","4","10","67","0","0","0","0","0"
"Tony Pollard","3","11","60","0","1","5","0","0"
"Tony Pollard","2","13","109","1","3","31","0","0"
"Tony Pollard","1","3","14","0","4","29","0","0"
"Clyde Edwardshelaire","12","0","0","0","0","0","0","0"
"Clyde Edwardshelaire","11","0","0","0","0","0","0","0"
"Clyde Edwardshelaire","10","9","27","1","1","4","0","0"
"Clyde Edwardshelaire","9","9","32","0","2","18","0","0"
"Clyde Edwardshelaire","8","10","37","2","3","5","0","0"
"Clyde Edwardshelaire","7","14","54","0","3","28","0","0"
"Clyde Edwardshelaire","6","12","63","1","2","13","0","0"
"Clyde Edwardshelaire","5","7","13","0","1","11","0","0"
"Clyde Edwardshelaire","4","14","102","0","2","12","1","0"
"Clyde Edwardshelaire","3","17","100","0","2","9","1","0"
"Clyde Edwardshelaire","2","13","46","0","0","0","0","0"
"Clyde Edwardshelaire","1","14","43","0","3","29","0","0"
"Najee Harris","17","11","28","0","4","27","0","0"
"Najee Harris","16","28","188","1","3","18","0","0"
"Najee Harris","15","19","93","0","5","17","0","0"
"Najee Harris","14","12","18","0","2","8","0","0"
"Najee Harris","13","20","94","1","3","10","1","0"
"Najee Harris","12","21","71","0","5","36","0","0"
"Najee Harris","11","8","23","0","3","14","0","0"
"Najee Harris","10","12","39","1","5","20","0","0"
"Najee Harris","9","26","105","0","4","28","0","0"
"Najee Harris","8","22","62","1","3","16","0","0"
"Najee Harris","7","26","91","1","3","29","0","0"
"Najee Harris","6","24","81","0","6","46","1","0"
"Najee Harris","5","23","122","1","2","20","0","0"
"Najee Harris","4","15","62","1","6","29","0","0"
"Najee Harris","3","14","40","0","14","102","0","0"
"Najee Harris","2","10","38","0","5","43","1","0"
"Najee Harris","1","16","45","0","1","4","0","0"
"Miles Sanders","14","0","0","0","0","0","0","0"
"Miles Sanders","13","0","0","0","0","0","0","0"
"Miles Sanders","12","7","45","0","1","3","0","0"
"Miles Sanders","11","18","131","0","2","15","0","0"
"Miles Sanders","10","24","120","0","3","22","0","0"
"Miles Sanders","9","9","64","0","1","0","0","0"
"Miles Sanders","8","16","94","0","0","0","0","0"
"Miles Sanders","7","6","30","0","1","3","0","0"
"Miles Sanders","6","9","56","0","2","10","0","0"
"Miles Sanders","5","11","45","0","5","6","0","0"
"Miles Sanders","4","7","13","0","3","34","0","0"
"Miles Sanders","3","2","27","0","3","28","0","0"
"Miles Sanders","2","13","55","0","1","4","0","0"
"Miles Sanders","1","15","74","0","4","39","0","0"
"Christian Mccaffrey","9","10","35","0","0","0","0","0"
"Christian Mccaffrey","8","10","59","0","7","60","1","0"
"Christian Mccaffrey","7","13","95","0","10","66","0","0"
"Christian Mccaffrey","6","14","52","0","4","54","0","0"
"Christian Mccaffrey","5","0","0","0","0","0","0","0"
"Christian Mccaffrey","4","0","0","0","0","0","0","0"
"Christian Mccaffrey","3","7","31","0","2","9","0","0"
"Christian Mccaffrey","2","24","72","1","5","65","0","0"
"Christian Mccaffrey","1","21","98","0","9","89","0","0"
"Boston Scott","16","14","47","2","4","39","0","0"
"Boston Scott","15","12","41","1","0","0","0","0"
"Boston Scott","14","0","0","0","0","0","0","0"
"Boston Scott","13","0","0","0","0","0","0","0"
"Boston Scott","12","15","64","1","2","8","0","0"
"Boston Scott","11","6","16","0","2","2","0","0"
"Boston Scott","10","11","81","0","2","24","0","0"
"Boston Scott","9","10","40","0","0","0","0","0"
"Boston Scott","8","12","60","2","0","0","0","0"
"Boston Scott","7","7","24","1","1","5","0","0"
"Boston Scott","6","0","0","0","0","0","0","0"
"Boston Scott","5","0","0","0","0","0","0","0"
"Boston Scott","4","0","0","0","0","0","0","0"
"Boston Scott","3","0","0","0","2","5","0","0"
"Boston Scott","2","0","0","0","0","0","0","0"
"Boston Scott","1","0","0","0","0","0","0","0"
"Aj Dillon","17","14","63","0","1","4","0","0"
"Aj Dillon","16","14","63","2","2","20","0","0"
"Aj Dillon","15","9","41","0","3","15","0","0"
"Aj Dillon","14","7","22","1","1","13","0","0"
"Aj Dillon","13","15","71","0","0","0","0","0"
"Aj Dillon","12","20","69","0","5","21","1","0"
"Aj Dillon","11","11","53","0","6","44","0","0"
"Aj Dillon","10","21","66","2","2","62","0","0"
"Aj Dillon","9","8","46","0","4","44","0","0"
"Aj Dillon","8","16","78","0","0","0","0","0"
"Aj Dillon","7","3","6","0","1","2","0","0"
"Aj Dillon","6","11","59","0","0","0","0","0"
"Aj Dillon","5","8","30","0","4","49","1","0"
"Aj Dillon","4","15","81","0","1","16","0","0"
"Aj Dillon","3","6","18","0","2","8","0","0"
"Aj Dillon","2","5","18","0","1","8","0","0"
"Aj Dillon","1","4","19","0","1","7","0","0"
"Jd Mckissic","13","0","0","0","0","0","0","0"
"Jd Mckissic","12","0","0","0","0","0","0","0"
"Jd Mckissic","11","7","30","1","5","26","1","0"
"Jd Mckissic","10","7","46","0","1","4","0","0"
"Jd Mckissic","9","2","4","0","4","35","0","0"
"Jd Mckissic","8","3","10","0","8","83","0","0"
"Jd Mckissic","7","4","22","0","4","34","0","0"
"Jd Mckissic","6","8","45","0","8","65","0","0"
