"Player Name","Season","RUATT","RUYD","RUTD","RECPT","REYD","RETD","FPTS"
"James White","2020","35","121","2","49","375","1","67"
"James White","2019","67","263","1","72","645","5","127"
"James White","2018","94","425","5","87","751","7","189"
"James White","2017","43","171","0","56","429","3","77"
"James White","2016","39","166","0","60","551","5","101"
"James White","2015","22","56","2","40","410","4","82"
"James White","2014","9","38","0","5","23","0","5"
"Jd Mckissic","2021","0","0","0","0","0","0","0"
"Jd Mckissic","2020","85","365","1","80","589","2","110"
"Jd Mckissic","2019","38","205","0","34","233","1","49"
"Jd Mckissic","2018","3","8","0","0","0","0","0"
"Jd Mckissic","2017","46","187","1","34","266","2","62"
"Jd Mckissic","2016","1","2","0","2","16","0","1"
"Leonard Fournette","2021","0","0","0","0","0","0","0"
"Leonard Fournette","2020","97","367","6","36","233","0","95"
"Leonard Fournette","2019","265","1152","3","76","522","0","183"
"Leonard Fournette","2018","133","439","5","22","185","1","97"
"Leonard Fournette","2017","268","1040","9","36","302","1","194"
"David Montgomery","2021","0","0","0","0","0","0","0"
"David Montgomery","2020","247","1070","8","54","438","2","210"
"David Montgomery","2019","242","889","6","25","185","1","144"
"Myles Gaskin","2021","0","0","0","0","0","0","0"
"Myles Gaskin","2020","142","584","3","41","388","2","122"
"Myles Gaskin","2019","36","133","1","7","51","0","24"
"Joe Mixon","2021","0","0","0","0","0","0","0"
"Joe Mixon","2020","119","428","3","21","138","1","77"
"Joe Mixon","2019","278","1137","5","35","287","3","189"
"Joe Mixon","2018","237","1168","8","43","296","1","199"
"Joe Mixon","2017","178","626","4","30","287","0","110"
"Antonio Gibson","2021","0","0","0","0","0","0","0"
"Antonio Gibson","2020","170","795","11","36","247","0","165"
"Chris Carson","2021","0","0","0","0","0","0","0"
"Chris Carson","2020","141","681","5","37","287","4","150"
"Chris Carson","2019","278","1230","7","37","266","2","195"
"Chris Carson","2018","247","1151","9","20","163","0","181"
"Chris Carson","2017","49","208","0","7","59","1","31"
"Aj Dillon","2021","0","0","0","0","0","0","0"
"Aj Dillon","2020","46","242","2","2","21","0","38"
"Josh Jacobs","2021","0","0","0","0","0","0","0"
"Josh Jacobs","2020","273","1065","12","33","238","0","197"
"Josh Jacobs","2019","242","1150","7","20","166","0","171"
"Wayne Gallman","2021","0","0","0","0","0","0","0"
"Wayne Gallman","2020","147","682","6","21","114","0","115"
"Wayne Gallman","2019","29","110","2","11","102","1","37"
"Wayne Gallman","2018","51","176","1","14","89","0","29"
"Wayne Gallman","2017","111","476","0","34","193","1","70"
"James Conner","2021","0","0","0","0","0","0","0"
"James Conner","2020","169","721","6","35","215","0","129"
"James Conner","2019","116","464","4","34","251","3","111"
"James Conner","2018","215","973","12","55","497","1","224"
