"Player Name","Season","TAR","RECPT","REYD","RETD","REFD","REAVG","FPTS"
"Mike Evans","2022","127","77","1124","6","53","14","148"
"Mike Evans","2021","114","74","1035","14","56","13","188"
"Mike Evans","2020","109","70","1006","13","55","14","178"
"Mike Evans","2019","118","67","1157","8","54","17","165"
"Mike Evans","2018","138","86","1524","8","69","17","198"
"Mike Evans","2017","135","71","1001","5","55","14","132"
"Mike Evans","2016","175","96","1321","12","81","13","208"
"Mike Evans","2015","147","74","1206","3","63","16","136"
"Mike Evans","2014","124","68","1051","12","46","15","177"
"Drake London","2022","117","72","866","4","48","12","106"
"Rondale Moore","2022","56","41","414","1","16","10","47"
"Rondale Moore","2021","64","54","435","1","18","8","54"
"Justin Jefferson","2022","184","128","1809","8","80","14","239"
"Justin Jefferson","2021","167","108","1616","10","75","14","221"
"Justin Jefferson","2020","125","88","1400","7","58","15","186"
"Treylon Burks","2022","54","33","444","1","19","13","54"
"Tyreek Hill","2022","170","119","1710","7","77","14","222"
"Tyreek Hill","2021","159","111","1239","9","75","11","184"
"Tyreek Hill","2020","135","87","1276","15","57","14","241"
"Tyreek Hill","2019","89","58","860","7","39","14","130"
"Tyreek Hill","2018","137","87","1479","12","60","17","240"
"Tyreek Hill","2017","105","75","1183","7","41","15","163"
"Tyreek Hill","2016","83","61","593","6","31","9","137"
"Elijah Moore","2022","65","37","446","1","22","12","50"
"Elijah Moore","2021","77","43","538","5","24","12","94"
"Christian Kirk","2022","133","84","1108","8","55","13","157"
"Christian Kirk","2021","103","77","982","5","44","12","130"
"Christian Kirk","2020","79","48","621","6","30","12","98"
"Christian Kirk","2019","107","68","709","3","31","10","99"
"Christian Kirk","2018","68","43","590","3","21","13","80"
"Jamarr Chase","2022","134","87","1046","9","58","12","154"
"Jamarr Chase","2021","128","81","1455","13","56","17","223"
"Michael Thomas","2022","22","16","171","3","13","10","35"
"Michael Thomas","2021","0","0","0","0","0","0","0"
"Michael Thomas","2020","55","40","438","0","25","10","43"
"Michael Thomas","2019","185","149","1725","9","91","11","226"
"Michael Thomas","2018","147","125","1405","9","75","11","190"
"Michael Thomas","2017","149","104","1245","5","70","11","154"
"Michael Thomas","2016","122","92","1137","9","62","12","163"
"Nathaniel Dell","2022","0","0","0","0","0","0","0"
"Terry Mclaurin","2022","120","77","1191","5","56","15","151"
"Terry Mclaurin","2021","130","77","1053","5","47","13","136"
"Terry Mclaurin","2020","134","87","1118","4","51","12","136"
"Terry Mclaurin","2019","93","58","919","7","43","15","133"
"Skyy Moore","2022","33","22","250","0","13","11","21"
"Rashee Rice","2022","0","0","0","0","0","0","0"
"Odell Beckham Jr","2022","0","0","0","0","0","0","0"
"Odell Beckham Jr","2021","82","44","537","5","27","12","84"
"Odell Beckham Jr","2020","43","23","319","3","17","13","62"
