"Player Name","Season","RUATT","RUYD","RUTD","RECPT","REYD","RETD","FPTS"
"Keaontay Ingram","2022","27","60","1","4","21","0","14"
"Kareem Hunt","2022","123","468","3","35","210","1","91"
"Kareem Hunt","2021","78","386","5","22","174","0","87"
"Kareem Hunt","2020","198","841","6","38","304","5","180"
"Kareem Hunt","2019","43","179","2","37","285","1","63"
"Kareem Hunt","2018","181","824","7","26","378","7","203"
"Kareem Hunt","2017","272","1327","8","53","455","3","241"
"Jaylen Warren","2022","77","379","1","28","214","0","64"
"Keshawn Vaughn","2022","17","53","0","3","19","0","6"
"Keshawn Vaughn","2021","36","180","2","4","26","0","32"
"Keshawn Vaughn","2020","26","109","0","5","34","1","17"
"Tank Bigsby","2022","0","0","0","0","0","0","0"
"Cam Akers","2022","188","786","7","13","117","0","127"
"Cam Akers","2021","5","3","0","3","10","0","1"
"Cam Akers","2020","145","625","2","11","123","1","90"
"Kenneth Gainwell","2022","53","240","4","23","169","0","64"
"Kenneth Gainwell","2021","68","291","5","33","253","1","90"
"Dameon Pierce","2022","220","939","4","30","165","1","135"
"Najee Harris","2022","272","1034","7","41","229","3","181"
"Najee Harris","2021","307","1200","7","74","467","3","226"
"Isiah Pacheco","2022","170","830","5","13","130","0","122"
"Kenneth Walker Iii","2022","228","1050","9","27","165","0","175"
"Elijah Mitchell","2022","45","279","2","3","7","0","39"
"Elijah Mitchell","2021","207","963","5","19","137","1","145"
"Josh Jacobs","2022","340","1653","12","53","400","0","275"
"Josh Jacobs","2021","217","872","9","54","348","0","171"
"Josh Jacobs","2020","273","1065","12","33","238","0","197"
"Josh Jacobs","2019","242","1150","7","20","166","0","171"
"Ezekiel Elliott","2022","231","876","12","17","92","0","168"
"Ezekiel Elliott","2021","237","1002","10","47","287","2","204"
"Ezekiel Elliott","2020","244","979","6","52","338","2","170"
"Ezekiel Elliott","2019","301","1357","12","54","420","2","257"
"Ezekiel Elliott","2018","304","1434","6","77","567","3","251"
"Ezekiel Elliott","2017","242","983","7","26","269","2","176"
"Ezekiel Elliott","2016","322","1631","15","32","363","1","293"
"Zamir White","2022","17","70","0","0","0","0","7"
"Devin Singletary","2022","177","819","5","38","280","1","139"
"Devin Singletary","2021","188","870","7","40","228","1","157"
"Devin Singletary","2020","156","687","2","38","269","0","104"
