"Player Name","Position","Rank","NumTeamExp","Team Name","Height","Weight","Age","College","IMG","Drafted"
"Austin Ekeler","RB","3","#30  / Los Angeles Chargers / EXP: 7YRS","Los Angeles Chargers","5-10","200lbs","28","Western State (Colo.)","https://sportshub.cbsistatic.com/i/sports/player/headshot/.png?width=160","False"
"Tyler Allgeier","RB","48","#25  / Atlanta Falcons / EXP: 2YRS","Atlanta Falcons","5-11","220lbs","23","BYU","https://sportshub.cbsistatic.com/i/sports/player/headshot/.png?width=160","False"
"Saquon Barkley","RB","4","#26  / New York Giants / EXP: 6YRS","New York Giants","6-0","232lbs","26","Penn State","https://sportshub.cbsistatic.com/i/sports/player/headshot/.png?width=160","False"
"Tyjae Spears","RB","0","#32  / Tennessee Titans / EXP: YRS","Tennessee Titans","5-10","200lbs","22","Tulane","https://sportshub.cbsistatic.com/i/sports/player/headshot/.png?width=160","False"
"Travis Etienne","RB","10","#1  / Jacksonville Jaguars / EXP: 3YRS","Jacksonville Jaguars","5-10","215lbs","24","Clemson","https://sportshub.cbsistatic.com/i/sports/player/headshot/.png?width=160","False"
"Jeff Wilson","RB","54","#23  / Miami Dolphins / EXP: 6YRS","Miami Dolphins","6-0","210lbs","27","North Texas","https://sportshub.cbsistatic.com/i/sports/player/headshot/.png?width=160","False"
"Devon Achane","RB","0","#28  / Miami Dolphins / EXP: YRS","Miami Dolphins","5-8","188lbs","21","Texas A&amp;M","https://sportshub.cbsistatic.com/i/sports/player/headshot/.png?width=160","False"
"Dandre Swift","RB","32","#0  / Philadelphia Eagles / EXP: 4YRS","Philadelphia Eagles","5-9","215lbs","24","Georgia","https://sportshub.cbsistatic.com/i/sports/player/headshot/.png?width=160","False"
"Tony Pollard","RB","5","#20  / Dallas Cowboys / EXP: 5YRS","Dallas Cowboys","6-0","209lbs","26","Memphis","https://sportshub.cbsistatic.com/i/sports/player/headshot/.png?width=160","False"
"Jk Dobbins","RB","11","#27  / Baltimore Ravens / EXP: 4YRS","Baltimore Ravens","5-10","215lbs","24","Ohio State","https://sportshub.cbsistatic.com/i/sports/player/headshot/.png?width=160","False"
"Deon Jackson","RB","53","#35  / Indianapolis Colts / EXP: 3YRS","Indianapolis Colts","5-11","216lbs","24","Duke","https://sportshub.cbsistatic.com/i/sports/player/headshot/.png?width=160","False"
"Jonathan Taylor","RB","33","#28  / Indianapolis Colts / EXP: 4YRS","Indianapolis Colts","5-10","226lbs","24","Wisconsin","https://sportshub.cbsistatic.com/i/sports/player/headshot/.png?width=160","False"
"Donta Foreman","RB","58","#21  / Chicago Bears / EXP: 5YRS","Chicago Bears","6-1","236lbs","27","Texas","https://sportshub.cbsistatic.com/i/sports/player/headshot/.png?width=160","False"
"Ty Chandler","RB","51","#32  / Minnesota Vikings / EXP: 2YRS","Minnesota Vikings","5-11","204lbs","25","North Carolina","https://sportshub.cbsistatic.com/i/sports/player/headshot/.png?width=160","False"
"Zach Charbonnet","RB","0","#26  / Seattle Seahawks / EXP: YRS","Seattle Seahawks","6-1","214lbs","22","UCLA","https://sportshub.cbsistatic.com/i/sports/player/headshot/.png?width=160","False"
"Damien Harris","RB","49","#22  / Buffalo Bills / EXP: 5YRS","Buffalo Bills","5-11","213lbs","26","Alabama","https://sportshub.cbsistatic.com/i/sports/player/headshot/.png?width=160","False"
"Christian Mccaffrey","RB","1","#23  / San Francisco 49ers / EXP: 7YRS","San Francisco 49ers","5-11","210lbs","27","Stanford","https://sportshub.cbsistatic.com/i/sports/player/headshot/.png?width=160","False"
"Deuce Vaughn","RB","0","#42  / Dallas Cowboys / EXP: YRS","Dallas Cowboys","5-6","176lbs","21","Kansas State","https://sportshub.cbsistatic.com/i/sports/player/headshot/.png?width=160","False"
"Rachaad White","RB","20","#1  / Tampa Bay Buccaneers / EXP: 2YRS","Tampa Bay Buccaneers","6-0","214lbs","24","Arizona St.","https://sportshub.cbsistatic.com/i/sports/player/headshot/.png?width=160","False"
"Jamaal Williams","RB","44","#30  / New Orleans Saints / EXP: 7YRS","New Orleans Saints","6-0","224lbs","28","BYU","https://sportshub.cbsistatic.com/i/sports/player/headshot/.png?width=160","False"
"Jahmyr Gibbs","RB","0","#26  / Detroit Lions / EXP: YRS","Detroit Lions","5-9","200lbs","21","Alabama","https://sportshub.cbsistatic.com/i/sports/player/headshot/.png?width=160","False"
"Khalil Herbert","RB","30","#24  / Chicago Bears / EXP: 3YRS","Chicago Bears","5-9","212lbs","25","Virginia Tech","https://sportshub.cbsistatic.com/i/sports/player/headshot/.png?width=160","False"
"David Montgomery","RB","24","#5  / Detroit Lions / EXP: 5YRS","Detroit Lions","5-11","224lbs","26","Iowa St.","https://sportshub.cbsistatic.com/i/sports/player/headshot/.png?width=160","False"
"Alexander Mattison","RB","14","#2  / Minnesota Vikings / EXP: 5YRS","Minnesota Vikings","5-11","215lbs","25","Boise St.","https://sportshub.cbsistatic.com/i/sports/player/headshot/.png?width=160","False"
